"pk_FieldID","refNumber","name","fk_DataTypeID","isRequired","isUnique","fk_TableID","fk_CreatedBy","createdDate","modifiedDate","status","isCombined","pivot","fk_LookupFieldID","calculateFormula","listValues","fromRange","toRange"
1,id_factory,id_factory,Integer,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
2,id_question,id_question,Text,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
3,id_form,id_form,Integer,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
4,nm_order,nm_order,Integer,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
5,de_kind,de_kind,Text,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
6,de_title,de_title,Text,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
7,fl_mandatory,fl_mandatory,Integer,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
8,nm_bifurca,nm_bifurca,Integer,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
9,fl_deleted,fl_deleted,Integer,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
10,dt_created,dt_created,DateTime,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
11,dt_modified,dt_modified,DateTime,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
12,id_question_old,id_question_old,Integer,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
13,de_subtypes,de_subtypes,Text,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
14,__deleted,__deleted,Text,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
15,__op,__op,Text,0,0,"1","182",1740737001,1740737001,1,,data,,,,,
57827,age,age,integer,0,0,"5c394676-a066-4e95-b92a-effe4160c91b",a7213db3-af1d-4810-ac21-e49160b82291,1742894855076,1742894855076,1,,data,,,,,
57828,prod,prod,bigint,0,0,"5c394676-a066-4e95-b92a-effe4160c91b",a7213db3-af1d-4810-ac21-e49160b82291,1742894855076,1742894855076,1,,data,,,,,
57829,name,name,character varying(12),0,0,"5c394676-a066-4e95-b92a-effe4160c91b",a7213db3-af1d-4810-ac21-e49160b82291,1742894855076,1742894855076,1,,data,,,,,
57830,id,id,integer,0,0,"2407ecd9-7818-436d-bac0-78cc5f492566",a7213db3-af1d-4810-ac21-e49160b82291,1742894855592,1742894855592,1,,data,,,,,
57831,name,name,character varying(256),0,0,"2407ecd9-7818-436d-bac0-78cc5f492566",a7213db3-af1d-4810-ac21-e49160b82291,1742894855592,1742894855592,1,,data,,,,,
57832,modified,modified,timestamp without time zone,0,0,"2407ecd9-7818-436d-bac0-78cc5f492566",a7213db3-af1d-4810-ac21-e49160b82291,1742894855592,1742894855592,1,,data,,,,,
57833,value,value,integer,0,0,"2407ecd9-7818-436d-bac0-78cc5f492566",a7213db3-af1d-4810-ac21-e49160b82291,1742894855592,1742894855592,1,,data,,,,,
57834,productid,productid,character varying,0,0,"8e0d87a4-2626-4acd-ab60-70ac91aa794c",a7213db3-af1d-4810-ac21-e49160b82291,1742894855756,1742894855756,1,,data,,,,,
57835,executionid,executionid,character varying,0,0,"8e0d87a4-2626-4acd-ab60-70ac91aa794c",a7213db3-af1d-4810-ac21-e49160b82291,1742894855756,1742894855756,1,,data,,,,,
57836,urn,urn,character varying,0,0,"8e0d87a4-2626-4acd-ab60-70ac91aa794c",a7213db3-af1d-4810-ac21-e49160b82291,1742894855756,1742894855756,1,,data,,,,,
